,example_id,query,query_id,product_id,product_locale,esci_label,small_version,large_version,split,product_title,product_description,product_bullet_point,product_brand,product_color
342398,996008,hem champa flower incense sticks,50173,B07GV5DRHX,us,E,0,1,train,"Satya Nag Champa Vanilla Incense Sticks, 12packs x 15grams","Satya Nag Champa Vanilla Incense Sticks, 12packs x 15grams (incense sticks length 20cm, weight pack 15g, pack dimensions H 4cm x L 22cm x B 2cm, box of 12 packs H 13cm x L 22cm x B 8cm). Each 15g pack contains around 12 - 15 incense sticks. The original and best Satya Sai Baba Nag Champa Vanilla incense from the Srinivas Sugandhalaya factory. The nag champa collection is the most famous brand of incense in the world by far. It is traditionally made in which the variety of flower oils are added. Each pack usually contains up to 15 incense sticks because each pack is made up by weight. Each incense stick is individually hand rolled in the high quality oils so each sticks can vary slightly in its thickness. The brand is used everywhere in Buddhist temples as a wonderful aid to personal meditation in ritual or spell work as part of a cleansing or just to create a wonderful relaxed and pleasant ambiance in the home.","Satya Nag Champa Vanilla Incense Sticks Each 15 gram pack contains around 12, 15 incense sticks The original and best Satya Sai Baba Nag Champa incense from the Srinivas Sugandhalaya factory",Satya,Yellow
617359,1827303,silk pillowcase,93352,B07KWH57X6,us,E,0,1,train,"Fishers Finery 25mm 100% Pure Mulberry Silk Pillowcase, Good Housekeeping Winner (White, Standard)","Meet our 25 Momme 100% Mulberry Silk Pillowcase from the Tranquil Dreams Collection. Good Housekeeping Magazine “Winner”; “Tried+Tested” and named “All-Star Standout” from the Experts at the Good Housekeeping Institute – November 2016Our design team sampled dozens of pure mulberry silk before making our fabric selection. The silk we selected is constructed of the most luxurious threads we could find creating an unparalleled, blissful sleeping environment. Our silk is constructed from long strand, Grade 6A mulberry silk. Silk quality is measured in the standard unit known as momme. The higher the momme, the more the silk. Our 25 momme pillowcase has 32% more silk than our 19 momme pillowcase.Our unique design incorporates a side entry, slightly offset, allowing this pillowcase to be used as both a sham or pillowcase. Our oversized envelope flap ensures the pillow will remain securely inside your pillowcase while allowing you to sleep on either side. We offer our 25 Momme Mulberry Silk Pillowcase in Standard, Queen and King sizes. Choose from: Natural White(Undyed), Light Blue, Light Green, Silver Pearl, English Rose, Deep Lavender, Burgundy, Taupe, Moonless Night, Navy or Hunter Green!","GOOD HOUSEKEEPING TRIED & TESTED: The experts at Good Housekeeping Magazine have labeled our 100% Pure Mulberry Silk Pillowcase a ""Winner"" and ""All-Star Standout."" LUXURIOUS BEDDING: Our pillowcase is made of 100% long strand, Grade 6A Pure Mulberry Silk. There is silk on BOTH sides of the pillowcase! The density of silk is measured by momme. The higher the momme, the more silk. We have added a unique side entry that is slightly offset. The pillowcase can be used as both a sham or pillowcase. An oversized, envelope flap ensures the pillow will remain securely inside your pillowcase. HEALTH BENEFITS: 100% Pure Mulberry Silk has been tested and proven to Prevent Wrinkles, Regulate Sleep Temperature, Protect Hair Damage & retain mositure. SIZING: Our Standard measures 20"" x 28"", Queen pillowcase measures 20"" x 30"", and King measures 20"" x 36"". CARE INSTRUCTIONS: Dry clean or hand wash are the best methods. You can also machine wash on the gentle cycle. We suggest to use a mesh wash bag when do so. Lay flat to dry.",Fishers Finery,Natural White (Undyed)
589383,1748237,runners compression socks men,89145,B01J4MF53Q,us,E,0,1,train,"Physix Gear Compression Socks for Men & Women 20-30 mmhg, Best Graduated Athletic Fit for Running Nurses Shin Splints Flight Travel & Maternity Pregnancy -Boost Stamina Circulation & Recovery GRY LXL","YOUR SEARCH FOR THE BEST COMPRESSION SOCKS FINALLY OVER! GET YOUR STAMINA COMPRESSION SOCKS from Physix Gear Sport - Do you spend all day on your feet, and the result is swollen ankles and fatigue? - Suffer from Aching and Heavy feeling in Legs, Foot Ache, Shin Splints, Varicose Veins, or Plantar Fasciitis? INTRODUCING STAMINA COMPRESSION SOCKS BY PHYSIX GEAR TO THE RESCUE! - INSTANT RESULTS, Graduated Compression increases blood circulation which provides increased performance and faster recovery - WON'T SLIP DOWN LEGS, like other cheap Kinesiology tapes - MOISTURE WICKING MATERIAL, designed breathability, sore muscles relief, reduce inflammation, and workout recovery - PERFECT SOCKS FOR Nurses, Athletes, anyone looking for lower leg stamina and recovery! - VERSATILE PERFORMANCE, For women and men, nurses and doctors, athletes and runners. Anyone on their feet all day - ENHANCE PERFORMANCE, rehabilitate, supporting muscles for sporting events. The ultimate Results & recovery formula - QUALITY. WHEN YOU PURCHASE TODAY, SIT BACK AND PREPARE FOR QUALITY TO ARRIVE! Amazon Buyers Trust the Physix Gear Brand to be Quality Products SO ORDER NOW! AND WHEN YOU DO, CONSIDER GETTING TWO, ONE FOR YOU AND ONE FOR YOUR VERY BEST FRIEND!","STYLE AND CONFIDENCE ON YOUR LEGS Finally! A Durable Compression Sock designed to last, without compromising quality or Comfort. Double stitched Fabric your legs will thank you. Feel the immediate Comfort and remarkable design of your new Stamina Long Sock Tights. The Perfect Work, Cycling, or Ski Socks. Quality stitched & Easy to get on even though they are a compression sock! They Wash well without losing compression keeping all the Excellent vascular toning benefits. BECAUSE PUSHING YOURSELF THAT EXTRA MILE MATTERS! Get your legs properly geared up for work, play, and everything in between! Great for day and night use, and perfect for those who are on their feet most of the time. With our socks, the compression and support are perfectly located on the heel foot calves so the toe area wont squeeze your toe joints. Provides instant comfort support, with moisture wicking properties that rapidly air dry in a few hours. TAKE YOUR GAME TO THE NEXT LEVEL Comfortable material and careful construction. No stitches in places where they'll rub or rip together. Stay put Cuffs Soothing feeling at the bottom and sides of foot with no pinching seen with lesser quality socks without ankle support. Fall in love with your new Stamina socks easy to pull on. and they breath! Use in extremely hot weather crossfit through mud water wall/crawl/rope climbs and half marathons. Perfect for extreme races and long runs! GRAB CONTROL OF YOUR WELLBEING IN STYLE An Excellent compression hose very durable with a fashionable look and variety colors available. Washable designed with Quality Lycra Fabric built for durability. Customers agree the comfort is amazing. Use them on a plane during that 9 hr flights or during that 6 mile walk Your durable 20 - 30 mmHg sleeves work with your routine. Feel the shock absorption effect instantly that really helps reduce fatigue and swelling in your lower leg. GET READY. TO BECOME A RAVING FAN! We cut no corners in our product and will cut no corners in our support of you! You are making a very intelligent decision doing business with our company. We know you're a big deal and we'll only provide you with the finest product and service around or your MONEY BACK! Purchase the Stamina Compression Socks now and experience the Physix Gear Sport customer experience phenomenon!",Physix Gear Sport,Black/Grey
377201,1101610,jeep brake light,55697,B07JH6PNYZ,us,E,0,1,train,Third Brake Light Replacement For Jeep Wrangler JK LED Tail Light [Smoked Lens] 3rd Brake Light Compatible with Jeep Wrangler JK Accessories 2007-2018,"Go Further, No Matter What Direction You Take Everyday people trust ABS plastic to take them places they have never been before. Whitewater canoes, climbing helmets, and our brake lights all share the same durable, impact resistant, adventure-ready ABS plastic. Combine that with an IP66 waterproof rating and six long-lasting LEDs and you’ve got a light that knows exactly what it means to push the limits. We designed our lights to handle anything, even a trip back to us in a return box. Why? Because we know you want you to focus on what's around the next corner, not your lights. Third Brake Lights Save Lives Do they really? Absolutely! Tests performed by NHTSA have proved that the addition of a third brake light greatly increased brake light visibility and dramatically reduced the likelihood of a rear-end collision. Going one step further, LED lights have a significantly faster rise time compared to traditional bulbs. Faster rise time means other drivers will see your lights sooner and have more time to react. Who knew that one simple swap could mean so much. Tackle the Worst Trails and Look Good Doing It Your Wrangler is a finely tuned off-road machine. It's rugged, functional, capable of doing almost anything a car can do, and can look awesome while doing it. With an eye-catching smoked lens and red LEDs, these lights don’t let anything stand in the way of style. Features Replacement for Jeep Wrangler 2008 - 2017 Smoked lens design Durable ABS plastic body Factory fit for easy install Long-lasting LEDs","DESIGNED FOR THE OUTDOORS - Made from durable ABS plastic and sporting an IP66 waterproof rating, these third brake lights are ready for anything the road can throw at it. POWERFUL STYLING - The captivating smoked lens design and red LEDs are just what you need to highlight your personal style. NO SWEAT INSTALL - A direct factory fit with two-pin non-polarized connector that snaps right into the factory plug... if only a tent was this easy to put together. PROVEN PERFORMANCE - Tried and tested, LED third brake lights are proven to reduce rear end collisions, saving you time, money, and pain. WE'VE GOT YOUR BACK - Fully covered by a go anywhere, tackle anything, two-year warranty.",ONLINE LED STORE,Smoked
272788,800854,female dog bandana,39934,B07MQRB1D7,us,E,0,1,train,YaoYao Personalized Dog Bandana Handmade Custom Dog Scarf Cotton Breathable Puppy Kerchief with Adjustable Bandana Bib Embroidered with Dog Name L for Large Dog,"DESCRIPTION Your little lovely furry doggy must become the closest companion and best friend in your life. You must have been thought of styling him/ her in a unique way for thousands times. The Personalized Dog Bandana Has Finally Arrived! You can customize your baby’s name on it. Click ""ADD TO CART"" NOW to Get it Rushed to Your Door And Make Your Adorable Dog Happy and Stylish! FEATURES Thick & Warm - Nice stitching and the fabric looks expensive. Super Cute & Fun – The dog bandana is awesome for your own dog but also make fabulous, thoughtful & unique gift ideas for lucky dog owners in your pack of friends. Item Care Advice - Wash on delicate cycle with like items or hand wash with cold water. SPECIFIATION Material: 100% Cotton Color: Blue / Dark Blue / Pink / Light Yellow Size: XS (6''-12'' adjustable length), S (9''-16'' adjustable length), M (11''-19'' adjustable length), L (13''-24'' adjustable length) PLEASE NOTE Tiny Size Errors are Allowable Due to Manual Measurement. Our Return & Refund Policy: Email us if you have any problem within 30 days from this purchase. We will return a full refund for quality or size issue. Prompt Customer Assistance: Email us NOW if you need any help.","[4 Sizes & 4 Colors Available] There are 4 sizes from XS(6''-12'') to L(13''-24'') and 4 colors (Blue / Dark Blue / Pink / Light Yellow), which is appropriate for most dog breeds. Just selected the favorite and most suitable one for your dog. [100% Cotton Fabric, Soft & Comfy] Made of 100% cotton, the dog bandana features ultra softness, smoothness and comfort, effectively protecting puppy's skin and making him/her feel comfortable and relaxed. [Easy to Wear] The dog bandana bib is specially designed with a quick release buckle which is knitted and adjustable. Just release the buckle and circle it on dog’s neck, then close the buckle. The process is really simple. [Custom Name Embroidery] The dog scarf can customize dog's name. And the name embroidery and stitching of the scarf are so exquisitely handcrafted that your lovely dog will look quite pretty and adorable on it. [Multi Functions] The dog kerchief can not only dress up your dog, but also can stop him from scratching on his neck, ensuring both nice look and security.",YaoYao,Custom with Text
436837,1284363,makeup brush bag without brushes,65117,B07CR5CTKK,us,E,0,1,train,Marble Makeup Brush Holder Makeup Brush Case Organizer Travel Makeup Brush Pouch Stand-up Foldable Portable Makeup Artist Storage Bag for Women,1*makeup brush case,"STYLISH MAKEUP BRUSH BAG: This makeup brush travel case charming marble color and stylish and smooth zipper, This makeup brush bag is perfect for women and girls. PORTABLE MAKEUP BRUSH HOLDER BAG: This makeup brush travel case holds assorted sized brush easily. It stands on its own for easy access to the brushes. You just fold down the top and grab the brush you need. CLEVERl DESIGN: This makeup brush travel case exterior is made of high-quality marble PU material, which is water resistant and easy to clean. Internal material easier to clean cosmetic residue. PORTABLE AND LIGHTWEIGHT: This makeup brush travel case perfect for Travel and Home use. Lightweight and easy to carry. You can put it into your tote bag or duffel bag, don't need much space. MULTIFUNCTION BAG: This makeup brush travel case isn't just limited to makeup brush holding. It can also be used as artist paint, brush bag and so on.",TANTO,1 Marble White
505469,1505121,outdoor dining table,76565,B07T8GG6FT,us,E,0,1,train,"Outdoor Dining Table for 6, Patio Rectangle Aluminum Table","KARMAS PRODUCT Aluminum Rectangle Table is perfect for outdoor gatherings with family or friends.Featuring a stylish design and classic gray colour, this set is easy to complement any existing outdoor furniture decor.The table top is large and wide enough for all your table accompaniments.Relax and enjoy the time with this exceptional dining table. Features: Brand New and High Quality Made From Aluminum Frame and Plastic Table Top High Temperature Tolerant, UV resistant and Waterproof Plastic Foot Cap to Keep the Balance of the Table Even on Uneven Place Double Layer Frame Design Ensures This Table More Sturdy and Stable All Weather Resistant and Very Easy to Clean Large Enough to Fit for 6 Chairs Easy to Assemble,All The Hardwares and Instruction Included Perfect for patio, deck, garden,pool,beach,balcony use Specification: Colour:Gray Material:Aluminum,Plastic Table Size:55.1”L X 31.5”W Package Size:55.2”L X 3.7”W X32.5”H Foot Tube Size:37 X 19 X 1.2mm Weight:35lbs Weight Capacity:330lbs Package Included: 1 X Patio Dining Table 1 X Instruction 1 X Screws 1 X Wrench","The outdoor dining table is made of high quality powder coated aluminum frame and durable plastic table top,very sturdy and longlasting to use,it could hold up about 330lbs with super bearing capacity Product Dimension:55.1”L X 31.5”W X 28.3”H;Package Dimension:55.2”L X 3.7”W X32.5”H; Weight:35lbs It was built to last in an outdoor environment and durable enough to withstand rain, sun and wind ,Its smooth surface makes it very easy to clean;Some assembly required The table is wide and large enough for 6 chairs and the double layer frame design ensures this table more sturdy and stable;plastic foot caps protect the legs and keep from scratching the floor The simple and elegant appearance makes this desk a perfect addition to any patio,deck,garden,backyad,porch place and enjoy the time with family or friends",KARMAS PRODUCT,Grey
377200,1101607,jeep brake light,55697,B07QW7HPFF,us,E,0,1,train,"3rd Third Brake Light for 2005-2010 Jeep Grand Cherokee, High Mount Light LED Center Tail Brake Lamp (Red)","Perfect replacement for: 👍 2005 2006 2007 2008 2009 2010 Jeep Grand Cherokee Package Includes: 👍 1 * 3rd LED High Mount Brake Light (Red) Note: 👍 1 YEAR warranty for defects in quality. For any problem, Please message us. ◕‿◕","👍 Feature: The 3rd brake light fit 2005 2006 2007 2008 2009 2010 Jeep Grand Cherokee 👍 Easy Installation: Easy to install, plug-n-play operation. No more drilling needed. Hand screw tool is better for the installation. 👍 Guarantee: 1 YEAR warranty for defects in quality. For any problem, pls message us. 👍 Waterproof Design: This LED 3rd Brake Light made from ABS materials with high-density foam mounted back, preventing water snow or heavy rain leaking in. 👍 Super Safe bright: Bring a different appearance to vehicle that cool look and outstanding illumination. The brake lamp lights up faster to avoid rear-end accident.",Tresound,Red
310211,907182,girls backpacks,45518,B07G362SVK,us,E,1,1,train,"Cute Kid's Toddler Backpack Dinosaur Schoolbag for Boys Girls,Kindergarten Children Bag Preschool Nursery Travel Bag with Chest Clip((Dino Scandinavian Style))","OREZI toddler bag preschool backpack with detachable chest strap backpack is a cute, fashion, durable, lightweight, comfortable and multi-functional back pack which strong and sturdy, and very easy to wipe clean. 2. Enough pockets to storage things organized and handy, large capacity meets all your child's daily needs. 1 roomy main double zippered pocket with an inner pouch can safely store and organize your child's books, notebooks, toys, clothes, folders, umbrella, and so on. 1 front pocket can hold things such as snacks,lunch, or school supplies. two side elastic side pockets for water and mikeaccommodate different size of water or milk bottle, umbrella and some small items. 3. Padded adjustable shoulder straps and detachable chest clip could release their shoulder and feel comfortable Non-slip for the smallest travelers secure easy to attache their all keep walks in crowded spaces relaxed. Wide and padded air mesh shoulder straps provide more comfort for little shoulders. 4. A great preschool bag/ children daypack/ travel bag/ picnic bag where fun meets function, perfect on-the-go pack for preschool kindergarten elementary school girls and boys, Ideal for school, travel, trip, outdoors activities (camping, picnic). Best gift for kids birthday, party, parties, christmas gift & many happy moments. 5.Package Included: 1 x Backpack BUYER PLEASE NOTE 1) Color: Due to the brightness difference among monitors, there will be a slight color difference.","Size: 10(L)x4(w)x12(H) inches/25.4cm(L)x10.2cm(W)x30.5cm(H) Material: High quality backpack ,durable and lightweight twill cloth,machine washable Roomy Compartment:Cute backpack to store your kids snacks and toys/items,One main pockets can storage A4 books,2 handy and safe side pockets easily fits thermos straw water bottle and other small items. The preschoolder backpack is made of durable water-resistant polyester which is lightweight and easy to clean.The child-size backpack is perfect for toddlers going to preschool or play dates.The adjustable padded shoulder straps offer support and comfort while the adjustable chest strap stabilizes the load throughout the day's activities. Cute design toddler bag perfect for children luggage, preschool, kindergarten and elementary school backpack, weekend bag, picnic bag and travel bag, we¡¯ve got it all covered!",OREZI,Dino Scandinavian Style
179159,520462,children should not use pool without adult supervision,25560,B099WN5RR6,us,E,0,1,train,"3547 Metal Signs,No Lifeguard on Duty Sign Children Should Not Use Pool Without Adult Supervision,8x12 in,Notice Sign Warning Sign and Logo Decoration","The interesting tinplate logo is well-made,high-quality,and perfect in size.Make people feel happy,stylish,beautiful and individual.Whenever you want to use it to decorate your place or remind others in a formal place,these tin paintings can play a huge role. The perfect size for eye-catching,suitable for decorative signs. The product has a wide range of uses In order to protect yourself or your family from accidents,warning signs can effectively convey instructions and safety warnings to others. Ensure that your information or description can attract people’s attention and gain people’s attention and respect.There are also different shapes and sizes to choose from,you can always find the one that suits you best! Each metal plate will be put into a bubble bag to prevent damage during transportation.There are 4 pre-drilled holes at the tinplate corners,which can be nailed to walls,pillars or fences for easy installation.The ideal wall decoration will make your home more atmospheric. Satisfactory service Quality service,so you have no worries.If you have any questions,please feel free to contact us,we will try our best to help you! Thank you for choosing!","Perfect size: 8x12 Inch (200x300 cm),12x16 Inch (300x400 cm) metal signs,suitable for decorative signs. Durable material: The decorative sign is made of high-quality tinplate metal,which is waterproof,soap-proof,mildew-proof,durable,and will not deform.Even after many years of indoor or outdoor use,it will remain as new. High quality: UV printing,with anti-corrosion,weather resistance,anti-rust properties,and does not fade.Whether in the sun,rain or other extreme weather,graphics and text can withstand the influence of various factors.(Note: Some old-fashioned metal signs are specially made with rust,which is not a quality problem) Professional design: very suitable for homes,courtyards and other occasions.Our logo has been carefully designed to look creative,simple and stylish,authoritative and easy to read.Of course,it is also a perfect gift for relatives and friends. Packaging and installation: Each metal plate will be put into a bubble bag to prevent damage during transportation.There are 4 pre-drilled holes in the tinplate corners,which can be nailed to walls,pillars or fences.Easy to install.",3547,Colour 2
